0 ,45517.3
0 ,679
0 ,678
0 ,676
0 ,675
0 ,674
-77.8 ,673.5
-89.7 ,672
-166.5 ,658.3
-178.2 ,655.2
-189.7 ,652
-426.6 ,638.9
-523.2 ,605.6
-588.7 ,593
-603.6 ,518.501
-620.6 ,350.4
-624.7 ,320.8
-648 ,315.7
-651.1 ,192.6
-663.3 ,152.3
-668.9 ,116.6
-670.9 ,104.7
-676.5 ,27
-677.5 ,27
-678.5 ,27
-678.8 ,15
-678.8 ,15
-18 ,-678.8
-18 ,-677.8
-18 ,-676.8
-107.7 ,-670.4
-119.6 ,-668.4
-207.2 ,-658.5
-364.6 ,-619.1
-364.7 ,-603.3
-572.2 ,-571.1
-574.6 ,-361.8
-580.9 ,-351.6
-630.6 ,-345.7
-651.8 ,-186.6
-655 ,-175
-657.8 ,-109
-673.4 ,-86.9
-674.9 ,-75
-676 ,3
-677 ,3
-677.8 ,15
-6 ,-679
-6 ,-679
-6 ,-678
-6 ,-677
-6 ,-676
72 ,-675.2
83.9 ,-673.8
95.8 ,-672.2
507 ,-661.3
579.8 ,-646.3
1421.4 ,-492.3
45369.1 ,116.3
3.66969e+258 ,452.7
3.66969e+258 ,452.7
356.6 ,679
502 ,619.1
670 ,605.3
9176.9 ,570.2
0 ,45517.3
