188.6, 84.7
189.3, 82.2
190.5, 77.1
191.1, 74.5
191.6, 71.9
192, 69.3
192.4, 66.7
192.6, 65.4
192.9, 62.8
193.2, 60.1
193.5, 57.5
193.7, 54.9
193.8, 52.2
193.9, 49.6
